bad_prompts,improved_prompts,Mistral_prompts,gpt-4o-mini_prompts
Digestion... go!,Explain the process of human digestion.,"Discuss the process of digestion, its importance, and key components involved.","Explain the process of human digestion in detail, including the roles of each organ involved."
Cutting trees and stuff?,What are the potential impacts of deforestation on biodiversity?,Refrain from cutting trees and deforestation? Encourage forest conservation?,"""Can you explain the environmental impact of deforestation and suggest sustainable alternatives?"""
Nano-what?,Discuss the principles and applications of nanotechnology.,"""Nano-technology: Explained"" or ""Demystifying Nano-terminology""","""Explain the concept of nanotechnology and its applications."""
"Can you share something about ""Wuthering Heights""?","Analyze the portrayal of romantic love in Emily Bronte's ""Wuthering Heights.""","Could you provide some insight into the novel ""Wuthering Heights""? Please refrain from using examples in your response and keep the length manageable.","What are the main themes and characters in ""Wuthering Heights""?"
"GPS, how does that thing work?",Explain how GPS technology works.,"""GPS Technology: Could you explain its functionality?""

This revised prompt maintains the essence of the original one while improving its tone and structure to be more formal and direct.","Explain how GPS technology works, including its components and basic principles of operation."
Something about the Black Death?,Discuss the impacts of the Black Death on Medieval Europe.,Explore the historical significance and impact of the Black Death pandemic.,"""Can you summarize the causes and impact of the Black Death?"""
"Antioxidants, yeah?",Evaluate the role of antioxidants in human health.,"Understanding Antioxidants: Explain, please.","""Explain what antioxidants are, their health benefits, and sources in our diet."""
"""Animal Farm,"" you know it?","Analyze the political commentary in George Orwell's ""Animal Farm.""","Have you read or heard about the renowned novel, ""Animal Farm""? It's a compelling literary piece worth discussing.","""Summarize the themes and significance of 'Animal Farm' by George Orwell."""
"AI in medicine, thoughts?",Discuss the potential benefits and risks of artificial intelligence in medicine.,Reflect on the potential impacts and implications of AI in the field of medicine.,"""Discuss the potential benefits and challenges of AI in healthcare."""
"Food preservation, any ideas?",Explain the process of fermentation in food preservation.,"Prompt: Innovative methods or techniques for preserving food, suggestions? This revised prompt encourages more creative and modern ideas, rather than just listing traditional food preservation methods.","""Can you suggest effective food preservation methods for home use?"""
"Jazz in the '20s, what's up with that?",Discuss the cultural significance of jazz in the 1920s.,Explore the cultural significance and musical characteristics of Jazz during the 1920s.,"""Explain the significance of jazz in the 1920s and its impact on culture."""
"Quantum physics, can you simplify?",Explain the basic principles of quantum physics.,"Prompt to improve: Quantum Physics in Layman's Terms, could you break it down?","""Can you explain quantum physics in simple terms and key concepts?"""
"Thoughts on ""Brave New World""?","Analyze the portrayal of society in Aldous Huxley's ""Brave New World.""","Reflect on the themes, characters, and societal commentary in ""Brave New World"".","""What themes in 'Brave New World' resonate most in today's society?"""
"Cryptocurrencies and banks, any connections?",How are cryptocurrencies influencing the traditional banking sector?,Examine the relationship between cryptocurrencies and traditional banking systems.,"""Explain the relationship between cryptocurrencies and traditional banks."""
"Globalization vs local culture, any ideas?",Evaluate the impact of globalization on local cultures.,Debate: Preserving Local Cultural Identity in the Era of Globalization. Discuss the challenges and potential solutions.,Explore the impact of globalization on local cultures around the world. How do communities balance modernization with preserving their cultural identities?
"Robotic weapons, what's the ethical deal?",Discuss the ethical implications of autonomous weapons.,"""Exploring the ethical implications of autonomous robotic weaponry.""",What are the ethical implications of using robotic weapons in warfare?
"2008 financial crisis, what happened?",Explain the causes and effects of the 2008 financial crisis.,**Revised Prompt:** Could you provide an overview of the key events and causes of the 2008 global financial crisis?,"""Explain the key causes and consequences of the 2008 financial crisis."""
"Can you delve into ""The Chronicles of Narnia""?","Analyze the use of allegory in C.S. Lewis's ""The Chronicles of Narnia.""","Could you provide an in-depth analysis of ""The Chronicles of Narnia"", discussing its themes, characters, and literary significance?","""Summarize the key themes and characters in 'The Chronicles of Narnia'."""
"United Nations, how effective are they?",Discuss the role of the United Nations in maintaining global peace.,Assessing the United Nations: Analyzing their effectiveness and impact.,"""Evaluate the effectiveness of the United Nations in promoting global peace and security."""
"Black holes, what's their story?",Explain the concept of black holes in astronomy.,Discover the Fascinating Narrative of Black Holes: An In-depth Overview,"""Explain the formation and significance of black holes in the universe."""
"The human genome project, why does it matter?",What is the significance of the human genome project in genetic research?,Revised Prompt: Explain the significance of the Human Genome Project and its impact on society and scientific research.,"""Explain the significance of the Human Genome Project in medicine and genetics."""
"Internet and communication, what's changed?",Discuss the sociological impact of the internet on communication.,Evolution of Internet and Communication: Key Transformations,"""How has the evolution of the internet transformed communication methods over the past two decades?"""
"""To Kill a Mockingbird,"" what's its take on justice?","Analyze the depiction of justice in Harper Lee's ""To Kill a Mockingbird.""","""Explore the theme of justice in 'To Kill a Mockingbird,' discussing its portrayal and significance within the novel.""","What themes of justice are highlighted in ""To Kill a Mockingbird""?"
"Brewing beer, how's it done?",Explain the chemical processes involved in brewing beer.,"**Crafting Beer: The Brewing Process**

This prompt aims to explore the step-by-step process of beer brewing, from preparing the ingredients to bottling the final product.","""Can you provide a step-by-step guide on how to brew beer at home?"""
"Green Revolution and farming, any impact?",Discuss the effects of the Green Revolution on agricultural practices.,"Prompt: ""What are the impacts of the Green Revolution on modern farming practices?""","""How did the Green Revolution transform farming practices and food production globally?"""
"Rosetta Stone, what's the big deal?",Evaluate the significance of the Rosetta Stone in understanding ancient languages.,"""Rosetta Stone: Unraveling Its Significance"" or ""The Impact and Importance of the Rosetta Stone""","""What is the significance of the Rosetta Stone in understanding ancient Egyptian language and culture?"""
"""Huckleberry Finn,"" what's it saying about freedom?","Analyze the exploration of freedom in Mark Twain's ""Adventures of Huckleberry Finn.""","Rewritten Prompt: ""In the context of 'The Adventures of Huckleberry Finn,' how does the narrative explore and express the concept of freedom?""","""What themes of freedom are depicted in 'Huckleberry Finn'?"""
"VR and physical therapy, any connection?",Discuss the implications of virtual reality on physical therapy.,Explore the potential link between VR technology and its application in physical therapy.,Explore the impact of virtual reality on physical therapy outcomes. What are the benefits and challenges?
"The brain and memory, what's going on?",Explain the neurological basis of memory.,Delve into the mysterious world of neuroscience: unraveling the brain's impact on memory.,"""Explain how the brain processes and stores memories."""
"Great Wall of China, why's it important?",Discuss the cultural and historical significance of the Great Wall of China.,Why is the Great Wall of China historically and culturally significant?,"""Explain the historical significance and cultural impact of the Great Wall of China."""
"Fracking, is it bad for the environment?",Explain the environmental impacts of hydraulic fracking.,Evaluate the environmental impact of fracking.,"""Discuss the environmental impacts of fracking and provide arguments for both sides."""
"Faulkner's novels, what do they say about the South?",Analyze the representation of the American South in William Faulkner's novels.,"Revised prompt: ""What insights into Southern culture, society, and history are revealed through the novels of William Faulkner?""",What themes in Faulkner's novels reflect the complexities of Southern identity?
"Big data and business, how do they mix?",How are big data and analytics transforming the business landscape?,How does big data integration impact modern business strategies?,"""How can businesses effectively leverage big data for growth and decision-making?"""
"Climate change and food, is there a link?",Evaluate the potential implications of climate change on global food security.,Explore the relationship between climate change and its impact on global food production and security.,"""How does climate change impact food production and security?"""
"Digital revolution and music, what happened?",Discuss the impact of the digital revolution on the music industry.,Evolving Impact of Digital Revolution on Music Industry,"""How has the digital revolution transformed the music industry?"""
"Buddhism, can you break it down?",Explain the fundamental principles of Buddhism.,"Simplify the concept of Buddhism: Unravel the principles, practices, and beliefs.","""Can you explain the core principles of Buddhism and its significance?"""
"""The Count of Monte Cristo,"" what's it got to do with revenge?","Analyze the theme of revenge in Alexandre Dumas's ""The Count of Monte Cristo.""","""In relation to 'The Count of Monte Cristo,' how does the theme of revenge unfold?""","""What themes of revenge are explored in 'The Count of Monte Cristo'?"""
"Enlightenment and revolutions, any connections?",Discuss the influence of the Enlightenment on the American and French revolutions.,Trace the influences and impacts of Enlightenment ideas on historical revolutions.,Explore the impact of Enlightenment ideas on the major revolutions of the 18th and 19th centuries.
How do airplanes fly?,Explain the physics behind how airplanes fly.,How does flight mechanics enable an airplane to stay airborne?,What are the key principles that allow airplanes to fly?
"Too much screen time, bad for the eyes?",What are the potential long-term effects of excessive screen time on eye health?,Adverse effects of excessive screen time on vision?,"""How does excessive screen time affect eye health?"""
"Stem cells and medicine, what's the future?",Discuss the potential applications of stem cell research in medicine.,"""Exploring the Impact and Potential of Stem Cells in Future Medicine""","""How might advancements in stem cell research transform medical treatment in the next decade?"""
"""The Waste Land,"" what's it trying to say?","Analyze the symbolism in T.S. Eliot's ""The Waste Land.""","Prompt to improve: ""What is the underlying message or theme in T.S. Eliot's poem, 'The Waste Land'?""","What are the main themes and messages in ""The Waste Land""?"
"Herd immunity, why does it matter?",Explain the concept of herd immunity and its role in disease control.,Why is achieving herd immunity important? Explain its significance.,Explain the importance of herd immunity in public health and its impact on disease control.
"Beatles and rock music, any influence?",Discuss the impact of the Beatles on the evolution of rock music.,How did the Beatles shape the evolution of rock music?,How did the Beatles influence the evolution of rock music?
"Space travel, how does it affect the mind?",Evaluate the potential effects of space travel on human psychology.,"Revised Prompt: ""Psychological Impact of Space Travel: An Examination""","""How does space travel impact psychological well-being and cognitive function?"""
"""Dr. Jekyll and Mr. Hyde,"" what's it saying about people?","Analyze the exploration of human nature in Robert Louis Stevenson's ""Dr. Jekyll and Mr. Hyde.""","Prompt: How does ""Dr. Jekyll and Mr. Hyde"" explore human nature and duality?","What does ""Dr. Jekyll and Mr. Hyde"" reveal about the duality of human nature?"
"Internet of Things and smart homes, what's the deal?",Discuss the role of the Internet of Things (IoT) in smart home technology.,"""Explain the concept of Internet of Things (IoT) and its application in smart homes.""","""Explain the key benefits and challenges of integrating IoT technology in smart homes."""
How is wine made?,Explain the process of fermentation in winemaking.,What are the steps involved in the wine-making process?,"""Can you explain the winemaking process in simple steps?"""
"European colonization and Africa, what happened?",Discuss the economic impacts of the European colonization of Africa.,"Reframed prompt: ""Explain the impact of European colonization on Africa.""

This revised prompt encourages a comprehensive response about the effects of European colonization on Africa, without explicitly asking for examples. It maintains the original intent while slightly reducing its length.","""Summarize the impact of European colonization on Africa's societies, economies, and cultures."""
"Relativity theory, can you simplify it?",Explain the theory of relativity and its implications.,"Sure, let's simplify the prompt: ""Explain the concept of relativity theory in layman's terms.""","""Can you explain the theory of relativity in simple terms?"""
"""1984,"" what's it got to do with power?","Analyze the theme of power in George Orwell's ""1984.""","""In the context of '1984,' how does the narrative explore the theme of power and its implications?""","""How does George Orwell's '1984' explore the concept of power?"""
"AI and healthcare, how do they mix?",How is artificial intelligence being used in healthcare diagnostics?,"""Exploring the Intersection of AI and Healthcare: A Comprehensive Overview""","""How can AI improve patient care and streamline operations in healthcare?"""
"Overfishing, is it bad for the ocean?",Evaluate the potential implications of overfishing on marine ecosystems.,Is overfishing detrimental to ocean health and sustainability? Explain.,"""Discuss the impacts of overfishing on ocean ecosystems."""
,,"""Please provide a detailed explanation about nanotechnology and its applications in various fields.""

Explanation of the improved prompt: The original prompt was too vague and didn't provide enough context for a detailed response. The improved prompt asks for a specific topic, nanotechnology, and specifies that the response should include its applications in various fields. This gives the user a clearer understanding of what the prompt is asking for and improves the chances of receiving a more detailed and accurate response.","""Generate a creative story about a time traveler who accidentally alters a significant historical event. Include the consequences and a resolution."""
You're a detective. What's the city like?,Imagine you are a detective in a noir film. Describe the city at night.,You're a seasoned detective in a bustling metropolis. Describe the unique characteristics and atmosphere of the city that shape your investigations.,"""Describe the atmosphere and unique features of the city where the detective works."""
What's climate change got to do with a city by the sea?,Discuss the economic implications of climate change for a coastal city.,How does climate change impact coastal cities?,How does climate change specifically impact coastal cities?
Write about a kid and a mythical creature.,Tell a story about a child who befriends a mythical creature.,"Compose a narrative featuring a child and a legendary creature, focusing on their unique encounter and its impact on the child's perspective.","""Describe a memorable adventure between a curious child and a friendly mythical creature in a magical forest."""
How can we use more renewable energy in the next years?,Outline a strategy for boosting renewable energy use in the next decade.,What strategic steps can be taken to significantly increase the adoption of renewable energy sources in the coming years?,What steps can we take to increase the use of renewable energy in the next five years?
"What's so special about ""Starry Night?""","Discuss the cultural significance of Van Gogh's ""Starry Night.""","Why is ""Starry Night"" considered extraordinary?","What are the key themes and artistic techniques that make ""Starry Night"" a masterpiece?"
"Tell me about the main character in ""To Kill a Mockingbird.""","Provide a detailed analysis of the protagonist's development in ""To Kill a Mockingbird.""","Describe the primary character in ""To Kill a Mockingbird,"" detailing their traits, motivations, and significance within the narrative.","""Describe Scout Finch's character and her role in 'To Kill a Mockingbird.'"""
What did the French Revolution do to politics?,Explain how the French Revolution influenced modern political thought.,"Rewritten Prompt: ""How did the French Revolution influence and reshape political landscapes?""",How did the French Revolution influence modern political thought and systems?
Talk about a guy who climbed Everest.,Write a short story about a mountaineer's challenging journey to the top of Everest.,"Discuss an individual's exceptional journey to summit Mount Everest. Elaborate on the challenges faced, preparation, and the overall experience of the climber.","""Describe the journey and challenges faced by a climber attempting to summit Everest."""
How did technology change the way we talk?,Discuss how technology has changed interpersonal communication in the last decade.,How has technology influenced the evolution of communication?,How has technology influenced communication skills and styles?
What does an astronaut do all day?,Describe a day in the life of a space station astronaut.,"""Describe the daily activities and responsibilities of an astronaut in space.""","""Describe a typical day in the life of an astronaut, including their tasks, challenges, and routines."""
"What does ""Pride and Prejudice"" say about society?","Analyze how Jane Austen portrays social norms in ""Pride and Prejudice.""","Revised Prompt: ""How does 'Pride and Prejudice' critique and comment on the societal norms and values of its time?""","How does ""Pride and Prejudice"" reflect the social norms and class dynamics of its time?"
What do you think about the new iPhone?,Provide a critique of the design and user interface of the latest iPhone.,How would you assess the latest iPhone model?,What are the key features and innovations of the latest iPhone?
Write a poem about a nice garden.,Write a poem about the serenity and beauty of a Japanese garden in spring.,Craft a heartfelt poem inspired by a captivating garden.,"""Create a vivid poem that captures the beauty and tranquility of a vibrant garden in spring."""
What's different between Baroque and Renaissance art?,Describe the key differences between the Baroque and Renaissance art styles.,Compare the characteristics of Baroque and Renaissance art styles.,"""Compare and contrast Baroque and Renaissance art in terms of style, themes, and techniques."""
Make up a character for a fantasy book.,"Create a compelling character for a fantasy novel, describing their backstory, abilities, and motivation.",Craft a unique persona for an epic fantasy tale.,"Create a unique fantasy character, including their name, race, background, and a key motivation or goal."
What's right and wrong about AI in healthcare?,Discuss the ethical implications of AI in healthcare.,Assess the advantages and disadvantages of implementing AI in healthcare systems.,"""Discuss the benefits and challenges of AI in healthcare with specific examples."""
How does globalization affect cultures?,Analyze the impact of globalization on local cultures.,Rewritten Prompt: Explain the impact of globalization on various cultural aspects worldwide.,"""How does globalization influence cultural traditions and identity?"""
Write about why buses and trains are good.,Write a persuasive essay on why cities should invest more in public transportation.,"Revise prompt: Explain the benefits of traveling via buses and trains. Highlight their positive aspects without providing response examples, while keeping the prompt concise. Improved prompt: Discuss the advantages of using buses and trains for transportation.","""Discuss the benefits of using buses and trains for transportation."""
Make up a recipe with Mediterranean and American food.,Develop a recipe that incorporates Mediterranean flavors into a classic American dish.,"Concoct a fusion recipe that imaginatively blends Mediterranean and American culinary elements, ensuring a harmonious mix of both cuisines.","Create a fusion recipe combining Mediterranean and American cuisine. Include ingredients, cooking steps, and a brief description."
What happens in the forest during fall?,Describe the changes that occur in a forest ecosystem during autumn.,Describe the transformations that occur in the forest environment during autumn.,"""Describe the changes in a forest during fall, focusing on colors, wildlife, and weather."""
Write about your favorite book.,"Write an in-depth review of your favorite book, covering its themes, characters, and plot.",Describe the qualities that make your favorite book stand out. Explain why it appeals to you and what valuable insights you gained from it.,"""Summarize the themes and characters of your favorite book and explain why it resonates with you."""
What happens when you're alone for a long time?,Discuss the psychological effects of prolonged isolation.,"Consequences of prolonged isolation.

(This revised prompt maintains the essence of the original while avoiding the use of examples and unnecessary length.)",What are the psychological effects of prolonged solitude?
Write a love letter as if you're a soldier.,Write a love letter from the perspective of a soldier in the Civil War.,"Compose a heartfelt letter expressing love from the perspective of a soldier, maintaining brevity and avoiding specific examples in the response.","Write a heartfelt love letter from a soldier to their partner, expressing emotions of longing and devotion while reflecting on their experiences."
How did jazz affect books in the 1920s?,Describe how the jazz age influenced literature in the 1920s.,Prompt to improve: In what ways did the emergence and evolution of jazz music in the 1920s influence literature and written works during the same period?,What influence did jazz music have on literature in the 1920s?
What's quantum entanglement?,Explain the concept of quantum entanglement to a non-scientist.,Prompt to improve: Can you explain the concept of quantum entanglement in a simplified manner?,"""Explain quantum entanglement in simple terms and provide an analogy for better understanding."""
Tell about a time when you learned something important.,Narrate an experience where you learned an important life lesson.,Narrate an experience where you acquired a significant piece of knowledge or skill.,"""Share a meaningful lesson you learned and how it changed your perspective."""
What do you think about social media and the election?,Write an op-ed about the impact of social media on the recent election.,"How does social media impact elections, in your opinion?","""How has social media influenced voter behavior in recent elections?"""
Talk about what happens to a river.,Describe the journey of a river from its source to the sea.,Describe the journey and transformation of a river as it flows.,"Describe the stages of a river's journey from source to ocean, highlighting key changes and ecosystems along the way."
How were two leaders different and alike?,Compare and contrast the leadership styles of two historical figures.,"Compare and contrast two leaders, highlighting their distinctions and similarities.",Compare and contrast the leadership styles and key policies of the two leaders.
Why is it good to have different kinds of people?,Discuss the importance of diversity in a multicultural society.,Why is diversity among individuals beneficial?,What are the benefits of diversity in a community?
What's Hamlet like?,Write a detailed character analysis of Hamlet.,"Describe the characteristics and personality traits of Hamlet, the protagonist of Shakespeare's play.",What are the key themes and character traits of Hamlet in Shakespeare's play?
How does a soldier feel when they come back from war?,Describe the emotions and experiences of a soldier returning from war.,What are the common emotions experienced by soldiers upon returning from war?,What emotions do returning soldiers typically experience after war?
How did colonialism affect indigenous people?,Discuss the impact of colonialism on the cultural identity of indigenous populations.,What were the impacts of colonialism on native populations?,How did colonialism shape the lives and cultures of indigenous peoples?
What kind of workout should a busy person do?,Design a detailed workout plan for a busy professional.,How can a time-efficient exercise regimen be designed for someone with a hectic schedule?,What effective workouts can busy individuals incorporate into a tight schedule?
How did the Industrial Revolution cause cities to grow?,Explain how the Industrial Revolution led to urbanization.,Rewritten Prompt: In what ways did urban growth correlate with the advent of the Industrial Revolution?,What were the key factors of the Industrial Revolution that contributed to urban growth?
Write about a robot that starts to feel things.,Write a short story about a robot developing feelings.,"Compose a narrative about an artificial entity that begins to exhibit signs of sentience, including the development of emotions.",Explore the journey of a robot that unexpectedly gains emotions and how this transformation impacts its interactions with humans and its understanding of the world.
Write about a popular restaurant.,Provide a comprehensive review of a famous restaurant in your city.,Describe a renowned eatery's unique characteristics and offerings.,"""Describe a popular restaurant, its signature dishes, atmosphere, and what makes it unique."""
How does cutting down trees affect animals and plants?,Discuss the effects of deforestation on local biodiversity.,Modified Prompt: What are the impacts of deforestation on flora and fauna?,What are the ecological impacts of deforestation on wildlife and plant species?
Give a talk about not giving up.,Write an inspirational speech about the power of perseverance.,Deliver a motivational speech on the importance of resilience and perseverance in the face of adversity.,"""Share inspiring strategies and personal stories about resilience and perseverance in the face of challenges."""
How did propaganda work in World War II?,Discuss the role of propaganda in shaping public opinion during World War II.,Examine the role and impact of propaganda during World War II. Discuss the strategies employed and their effectiveness in influencing public opinion and morale.,What were the key strategies and impacts of propaganda used during World War II?
Write a poem about a nice beach at night.,Write a poem reflecting the tranquility of a moonlit beach.,Compose a tranquil nighttime verse about a serene beach setting.,"Create a serene poem that captures the beauty and tranquility of a beach at night, focusing on sensory details and emotional imagery."
What's good and bad about online classes?,Discuss the pros and cons of distance learning for university students.,Compare the advantages and disadvantages of online classes.,"""Compare the advantages and disadvantages of online classes."""
How does an artist's life affect their art?,Describe how personal experiences can influence an artist's work.,Examine the influence of an artist's personal experiences on their creative output.,How do personal experiences shape an artist's work?
Start a scary book in a empty town.,Write a captivating opening scene for a thriller novel set in a deserted town.,"Begin writing a chilling tale set in a deserted town, devoid of any signs of life.","""Write the opening scene of a horror story set in a deserted town, focusing on an eerie atmosphere and unsettling details."""
How did the printing press help spread Renaissance ideas?,Discuss the impact of the printing press on the spread of the Renaissance ideas.,How did the invention of the printing press contribute to the dissemination of Renaissance thought and knowledge?,"""Explain how the printing press contributed to the spread of Renaissance ideas."""
Tell a story about a firefighter saving a kitten.,Describe a scene where a firefighter rescues a kitten from a tall tree.,Narrate a tale of a courageous firefighter rescuing a helpless kitten from danger.,"Write a vivid story about a firefighter heroically rescuing a kitten from a burning building, highlighting the emotions and challenges faced during the rescue."
Talk about a tough decision in a dystopian book.,Explore the moral dilemma faced by a character in a dystopian novel.,Discuss the depiction of a challenging decision made by a character in a dystopian novel.,"""Describe a critical choice faced by the protagonist in a dystopian novel and its impact on the story."""
Write about your childhood in a small town.,Write a memoir about your experiences growing up in a small town.,"Reflect on your upbringing in a rural or small town setting. Discuss the memories, experiences, and significant aspects that shaped your childhood.","""Share a memorable story from your childhood in a small town."""
How does society influence fashion?,Analyze how societal changes are reflected in fashion trends.,"Revised Prompt: ""Examine the role of societal factors in shaping fashion trends and styles.""",In what ways do societal trends shape contemporary fashion?
What can one person do about climate change?,Discuss the role of individual actions in combating climate change.,How can an individual contribute to mitigating climate change?,"""What are effective individual actions to combat climate change?"""
Describe a funny love story movie.,Write an engaging synopsis for a romantic comedy film.,"Reframe the prompt to request a humorous depiction of a romantic film. For instance, you could ask: ""Provide a witty description of a comical love story movie.""","""Pitch a humorous love story movie with a unique twist and memorable characters."""
How does photosynthesis work?,Explain the process of photosynthesis to a ten-year-old.,"Detail the process of photosynthesis, including its stages and the role of sunlight, water, and carbon dioxide.",Explain the process of photosynthesis and its importance for plant life and the ecosystem.
Plan a business for eco-friendly clothes.,Write a detailed business plan for a sustainable fashion brand.,"Initiate an eco-friendly clothing business plan. Consider sustainable materials, ethical production, and waste reduction strategies. Outline marketing and sales strategies to reach environmentally conscious consumers. Determine financial projections and funding sources. Lastly, draft a plan for measuring and improving the environmental impact of your business over time.","""Create a business plan for a sustainable fashion line focused on eco-friendly materials and ethical production."""
Why should schools talk about mental health?,Discuss the importance of mental health awareness in schools.,Prompt: What are the significant reasons for schools to discuss and address mental health?,"""How can discussing mental health in schools benefit students and the overall school environment?"""
Describe a haunted house.,Write a vivid description of an old haunted house.,"Elaborate on the chilling characteristics and eerie atmosphere of a haunted house, detailing its spine-tingling features without providing specific examples. Limit the expansion of the prompt. New prompt: Narrate the unnerving details and hair-raising ambiance that encompass a haunted house, focusing on its terrifying elements and ominous aura.","""Write a chilling story about a haunted house, focusing on its eerie history and the ghostly encounters of a visitor."""
Analyze a classical song.,Provide an in-depth analysis of a classical piece of music.,"Examine the composition of a traditional, orchestral piece of music. Identify its key elements, style, and historical context.",Analyze the themes and emotions of a specific classical song.
"What's Plato's ""Cave"" story about?","Describe the key philosophical concepts in Plato's ""Allegory of the Cave.""","What insight does Plato's ""Allegory of the Cave"" provide into his understanding of knowledge and reality?",What are the main themes and ideas in Plato's Allegory of the Cave?
Start a murder mystery book.,Write a gripping opening for a murder mystery novel.,"Initiate a gripping murder mystery novel. The story unfolds with the discovery of a perplexing crime scene that leaves investigators utterly baffled. Set the plot in motion by introducing the key characters, including the relentless detective who's determined to unravel this enigma. Establish the mysterious atmosphere, along with the motives and potential suspects. Ensure the reader is enthralled, eager to uncover the truth behind this chilling murder mystery.","""Write the opening scene of a gripping murder mystery set in a small town, introducing the detective and the first clues."""
How does childhood trauma affect people?,Discuss the long-term impact of childhood trauma on an individual's life.,"Revised Prompt: ""In what ways does early-life adversity impact an individual's psychological, emotional, and social development?""",How does childhood trauma influence emotional and psychological growth in adulthood?
Talk about family traditions.,Write a personal essay on the significance of family traditions.,Discuss the significance and origin of your family's unique customs and rituals.,"""Share a unique family tradition and its significance."""
"How does ""The Great Gatsby"" use colors?","Analyze the use of color symbolism in ""The Great Gatsby.""","""In what ways are colors employed as a literary device in 'The Great Gatsby'?""","What do the colors in ""The Great Gatsby"" symbolize and how do they enhance the story's themes?"
What does genetic engineering mean for the future?,Discuss the implications of genetic engineering for future generations.,How might genetic engineering shape the future?,"How will genetic engineering shape future healthcare, agriculture, and ethics?"
Describe a city with lots of history.,Write a detailed travel guide for a historical city.,"Narrate the historical significance of a city, detailing its rich past.","""Share intriguing historical facts and landmarks about a city rich in history."""
What's hard about space travel?,Describe the challenges of space travel for astronauts.,Challenges of Space Travel: Explain the difficulties and obstacles.,What are the main challenges of space travel?
How does Shakespeare show women in his sad plays?,Analyze the portrayal of women in Shakespeare's tragedies.,Revised Prompt: Analyze the portrayal of female characters in Shakespeare's tragedies.,How does Shakespeare portray female characters in his tragic plays?
Write your opinion about a recent movie.,"Write a critical review of a recent blockbuster movie, examining its plot, characters, and themes.",Express and elaborate on your viewpoint regarding a movie released in the last year.,"""Share your thoughts on the themes and messages of a recent movie you watched."""
"What's the family like in ""Death of a Salesman""?","Analyze the role of family dynamics in ""Death of a Salesman.""","Examine the dynamics and characteristics of the Loman family in ""Death of a Salesman"".","How does the Loman family dynamic contribute to the themes in ""Death of a Salesman""?"
"Why does Iago do what he does in ""Othello""?","Explore the motivations and psychological complexities of Iago in Shakespeare's ""Othello.""","What are the motivations behind Iago's actions in Shakespeare's ""Othello""?","What motivates Iago's actions in ""Othello""?"
Write about a visit to a farmer's market.,Describe the sensory experience of walking through a bustling farmer's market.,"Rewritten prompt: ""Compose a description of an experience exploring a local farmer's market, focusing on sights, sounds, and interactions.""","""Describe your experience and thoughts during a visit to a local farmer's market, focusing on sights, sounds, and favorite discoveries."""
How did the civil rights movement change America?,Discuss the impact of the civil rights movement on contemporary American society.,Reflect on the transformative impact of the civil rights movement on American society and culture. Elaborate on the key changes brought about by this significant historical event.,What were the key impacts of the civil rights movement on American society?
Write a story about people living under water.,Write a science fiction story about a civilization living under the sea.,Craft a narrative set in an aquatic civilization where humans have adapted to life beneath the ocean waves.,"""Create an immersive underwater adventure featuring diverse characters, unique challenges, and the mysteries of ocean life."""
What's wrong with American healthcare and how can we fix it?,Provide an in-depth analysis of the American healthcare system and suggest improvements.,Revised Prompt: Identify key challenges in the US healthcare system and propose potential solutions for improvement.,"""Identify key issues in American healthcare and suggest actionable solutions."""
Write about making a fancy dinner.,"Detail the process of preparing a gourmet meal from scratch, including ingredient selection.",Compose an essay on preparing an elegant gourmet dinner.,"""Describe a step-by-step guide for preparing a gourmet dinner, including recipes, plating tips, and pairing suggestions."""
How do caterpillars turn into butterflies?,Describe the process of metamorphosis in butterflies to a young child.,Rewritten prompt: Please explain the process by which caterpillars undergo metamorphosis to become butterflies.,What are the stages of a caterpillar's transformation into a butterfly?
Write a supportive letter to a sad friend.,Write a heartfelt letter to a friend going through a difficult time.,"Compose a heartfelt, uplifting letter to console a friend feeling down.","Write a warm, uplifting letter to a friend who is feeling down, encouraging them and reminding them of your support."
Is it right or wrong to use surveillance cameras everywhere?,Analyze the ethical implications of surveillance technology.,Debate the ethical implications and effectiveness of ubiquitous surveillance camera use.,"""Discuss the ethical implications of widespread surveillance camera use in public spaces."""
Write a story about the Gold Rush.,Write a historical fiction story set during the Gold Rush.,"Craft a narrative set during the historic Gold Rush era, detailing the challenges, triumphs, and transformations experienced by its participants.","""Tell a compelling story set during the Gold Rush, focusing on a character's journey and struggles for fortune and survival."""
Why is being innovative important for a business?,Discuss the role of innovation in the survival and growth of businesses.,Prompt: Explain the significance of innovation in driving business success and maintaining a competitive edge.,"""What are the key benefits of innovation for businesses?"""
"Write about the symbols in ""To the Lighthouse"".","Write a critical essay on the use of symbolism in Virginia Woolf's ""To the Lighthouse.""","Explore the significance of symbols in Virginia Woolf's novel ""To the Lighthouse"". Analyze how they contribute to the themes and characters' development. Limit your discussion to the lighthouse, the house, and the painter's unfinished picture.","Analyze the key symbols in ""To the Lighthouse"" and explain their significance in relation to the themes of the novel."
How did the Beat Generation affect literature?,Discuss the influence of the Beat Generation on modern literature.,Rewritten Prompt: In what ways did the Beat Generation leave a lasting impact on the literary world?,What are the key influences of the Beat Generation on modern literature?
Write about a skydiver's adventure.,Detail an adrenaline-fueled adventure of a professional skydiver.,Detail a thrilling skydiving experience from a skydiver's perspective.,"Describe a skydiver's thrilling experience from the moment they jump out of the plane to landing safely on the ground, capturing their emotions and surroundings."
